id,accident_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,casualty_home_area_type,accident_severity,day_of_week,time,road_type,speed_limit,junction_detail,junction_control,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,vehicle_type,vehicle_manoeuvre,vehicle_location_restricted_lane,junction_location,hit_object_in_carriageway,hit_object_off_carriageway,first_point_of_impact,journey_purpose_of_driver,sex_of_driver,age_band_of_driver,age_of_vehicle,driver_home_area_type
4117,200501EO41191,1,1,1,1,5,3,1,1,3,3,19:48,6,30,6,2,0,5,4,1,1,0,0,1,1,18,0,8,0,0,2,-1,1,5,-1,1
4889,200501FH10417,1,2,3,1,4,3,0,-1,3,3,17:45,6,30,3,4,0,0,1,1,1,0,0,1,2,18,0,8,0,0,1,-1,1,-1,-1,-1
5378,200501GD10281,1,1,1,1,6,3,5,1,3,3,07:25,6,30,3,4,0,0,1,2,2,0,0,1,5,18,0,1,0,0,4,-1,1,6,-1,1
6603,200501HT20515,3,1,1,1,4,3,9,1,3,3,13:20,6,50,5,4,0,0,1,1,1,0,0,1,9,18,0,8,0,0,3,-1,1,4,15,1
8530,200501JI40505,1,1,2,2,7,3,9,1,3,5,20:38,6,30,3,4,0,0,1,1,1,0,0,1,9,8,0,1,0,0,2,-1,1,8,14,1
12148,200501LX50820,2,1,1,2,6,2,9,1,2,5,07:48,6,30,6,4,0,0,1,1,1,0,0,1,9,9,0,8,0,0,3,-1,2,6,8,1
13821,200501MM71347,1,1,1,1,7,3,9,1,3,3,02:30,6,30,6,2,0,5,4,2,2,0,0,1,9,10,0,8,0,0,2,-1,1,7,-1,1
19055,200501RY10613,2,1,1,1,9,3,9,-1,3,3,12:30,6,30,6,4,0,0,1,1,2,0,0,1,9,18,0,8,0,0,4,-1,1,9,10,-1
23094,200501TX20003,1,1,1,1,6,2,1,1,2,6,20:30,6,30,3,4,0,0,4,1,1,0,0,1,1,7,0,8,0,0,2,-1,1,6,-1,1
31746,200501ZT80420,1,1,1,1,6,3,9,1,3,2,08:20,3,30,0,-1,0,0,1,1,1,0,0,1,9,6,0,0,0,0,3,1,1,6,3,1
31779,200501ZT80454,2,1,1,1,-1,3,1,-1,3,7,13:30,6,30,3,4,0,0,1,1,1,0,0,1,1,18,0,8,0,0,2,-1,1,-1,-1,-1
34030,2005030003440,2,3,2,1,6,3,21,1,3,5,02:34,3,60,0,-1,0,0,6,2,2,0,0,2,21,2,6,0,0,9,2,1,1,6,0,1
34895,200504A020205,1,1,1,1,6,3,4,1,3,5,18:50,6,30,6,2,0,5,1,1,1,0,0,1,4,3,0,2,0,0,2,-1,1,6,-1,1
35649,200504AX05097,2,2,1,2,9,3,9,1,3,6,15:20,6,30,0,-1,0,0,1,1,1,0,0,1,9,18,0,0,0,0,1,-1,2,9,2,1
36290,200504BB05057,1,1,1,2,4,3,9,1,2,5,22:55,6,60,0,-1,0,0,6,2,2,0,0,2,9,4,0,0,0,0,1,-1,2,4,5,1
40227,200504EA05162,2,1,1,1,7,3,9,1,3,6,08:42,6,30,0,-1,0,0,1,2,2,0,0,1,9,18,0,0,0,0,2,1,1,7,10,1
55669,200506K024119,2,1,1,2,4,3,9,1,3,3,17:15,6,30,0,-1,0,0,1,1,1,0,0,1,9,3,0,0,0,0,2,2,2,4,5,1
62619,200506X919313,2,1,1,1,5,3,9,1,3,7,16:32,3,70,0,-1,0,0,1,1,1,0,0,2,9,16,0,0,0,4,1,-1,1,5,1,1
68745,2005100068305,1,1,3,1,11,3,0,-1,3,3,15:15,6,30,6,2,0,5,1,2,2,0,0,1,11,18,0,2,0,0,1,1,1,-1,6,1
