code,column_name,value
AA1,accident_severity,Fatal
AA2,accident_severity,Serious
AA3,accident_severity,Slight
AB1,day_of_week,Sunday
AB2,day_of_week,Monday
AB3,day_of_week,Tuesday
AB4,day_of_week,Wednesday
AB5,day_of_week,Thursday
AB6,day_of_week,Friday
AB7,day_of_week,Saturday
AC1,time,morning early
AC2,time,morning rush
AC3,time,morning other
AC4,time,afternoon
AC5,time,afternoon rush
AC6,time,evening
AC7,time,night
AD1,road_type,Roundabout
AD2,road_type,One way street
AD3,road_type,Dual carriageway
AD4,road_type,Single carriageway
AD5,road_type,Slip road
AD6,road_type,One way street/Slip road
AE1,speed_limit,20
AE2,speed_limit,30
AE3,speed_limit,40
AE4,speed_limit,50
AE5,speed_limit,60
AE6,speed_limit,70
AF1,junction_detail,Not at junction or within 20 metres
AF2,junction_detail,Roundabout
AF3,junction_detail,Mini-roundabout
AF4,junction_detail,T or staggered junction
AF5,junction_detail,Slip road
AF6,junction_detail,Crossroads
AF7,junction_detail,More than 4 arms (not roundabout)
AF8,junction_detail,Private drive or entrance
AF9,junction_detail,Other junction
AG1,junction_control,Not at junction or within 20 metres
AG2,junction_control,Authorised person
AG3,junction_control,Auto traffic signal
AG4,junction_control,Stop sign
AG5,junction_control,Give way or uncontrolled
AH1,pedestrian_crossing_human_control,None within 50 metres
AH2,pedestrian_crossing_human_control,Control by school crossing patrol
AH3,pedestrian_crossing_human_control,Control by other authorised person
AI1,pedestrian_crossing_physical_facilities,No physical crossing facilities within 50 metres
AI2,pedestrian_crossing_physical_facilities,Zebra
AI3,pedestrian_crossing_physical_facilities,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing"
AI4,pedestrian_crossing_physical_facilities,Pedestrian phase at traffic signal junction
AI5,pedestrian_crossing_physical_facilities,Footbridge or subway
AI6,pedestrian_crossing_physical_facilities,Central refuge
AJ1,light_conditions,Daylight
AJ2,light_conditions,Darkness - lights lit
AJ3,light_conditions,Darkness - lights unlit
AJ4,light_conditions,Darkness - no lighting
AJ5,light_conditions,Darkness - lighting unknown
AK1,weather_conditions,Fine no high winds
AK2,weather_conditions,Raining no high winds
AK3,weather_conditions,Snowing no high winds
AK4,weather_conditions,Fine + high winds
AK5,weather_conditions,Raining + high winds
AK6,weather_conditions,Snowing + high winds
AK7,weather_conditions,Fog or mist
AK8,weather_conditions,Other
AL1,road_surface_conditions,Dry
AL2,road_surface_conditions,Wet or damp
AL3,road_surface_conditions,Snow
AL4,road_surface_conditions,Frost or ice
AL5,road_surface_conditions,Flood over 3cm. deep
AL6,road_surface_conditions,Oil or diesel
AL7,road_surface_conditions,Mud
AM1,special_conditions_at_site,Auto traffic signal - out
AM2,special_conditions_at_site,Auto signal part defective
AM3,special_conditions_at_site,Road sign or marking defective or obscured
AM4,special_conditions_at_site,Roadworks
AM6,special_conditions_at_site,Road surface defective
AM7,special_conditions_at_site,Oil or diesel
AM8,special_conditions_at_site,Mud
AN1,carriageway_hazards,Vehicle load on road
AN2,carriageway_hazards,Other object on road
AN3,carriageway_hazards,Previous accident
AN4,carriageway_hazards,Dog on road
AN5,carriageway_hazards,Other animal on road
AN6,carriageway_hazards,Pedestrian in carriageway - not injured
AN7,carriageway_hazards,Any animal in carriageway (except ridden horse)
AO1,urban_or_rural_area,Urban
AO2,urban_or_rural_area,Rural
AO3,urban_or_rural_area,Unallocated
VA1,vehicle_type,Pedal cycle
VA2,vehicle_type,Motorcycle 50cc and under
VA3,vehicle_type,Motorcycle 125cc and under
VA4,vehicle_type,Motorcycle over 125cc and up to 500cc
VA5,vehicle_type,Motorcycle over 500cc
VA6,vehicle_type,Taxi/Private hire car
VA7,vehicle_type,Car
VA7,vehicle_type,Minibus (8 - 16 passenger seats)
VA9,vehicle_type,Bus or coach (17 or more pass seats)
VA10,vehicle_type,Ridden horse
VA11,vehicle_type,Agricultural vehicle
VA12,vehicle_type,Tram
VA13,vehicle_type,Van / Goods 3.5 tonnes mgw or under
VA14,vehicle_type,Goods over 3.5t. and under 7.5t
VA15,vehicle_type,Goods 7.5 tonnes mgw and over
VA15,vehicle_type,Mobility scooter
VA17,vehicle_type,Electric motorcycle
